name,selling_price,cost_price,image_url_path,affiliate_link,rating,category_id
XYXX,589,789.0,https://m.media-amazon.com/images/I/71BwDteGcaL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?tag=zahidbasha-21,3.9,1
Symbol Premium,699,899.0,https://m.media-amazon.com/images/I/61lzPYutsfL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?tag=zahidbasha-21,3.9,1
Amazon Brand - Symbol,399,599.0,https://m.media-amazon.com/images/I/713n+TxyfCL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?tag=zahidbasha-21,3.9,1
ADISA WEAR,399,599.0,https://m.media-amazon.com/images/I/81pvDI9VIZL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?tag=zahidbasha-21,5.0,1
Lymio,549,749.0,https://m.media-amazon.com/images/I/814-8QkuetL._AC_UL320_.jpg,https://www.amazon.in/Lymio-T-Shirt-Cotton-Casual-T-62-Camel-XL/dp/B0FPCWJDWY/ref=sr_1_5?tag=zahidbasha-21,4.2,1
Scott International,569,769.0,https://m.media-amazon.com/images/I/71HBNT3R66L._AC_UL320_.jpg,https://www.amazon.in/Scott-International-Regular-T-Shirt-SS20-3RN-BU-GR-CH-XL_Multicolored_X-Large/dp/B084L927MC/ref=sr_1_6?tag=zahidbasha-21,3.7,1
Allen Solly,699,899.0,https://m.media-amazon.com/images/I/91PUf68eaCL._AC_UL320_.jpg,https://www.amazon.in/Allen-Solly-Mens-Polo-8907587727059_AMKP317G04237_Green_X-Large/dp/B06Y2DM9JL/ref=sr_1_7?tag=zahidbasha-21,4.1,1
Peter England,766,966.0,https://m.media-amazon.com/images/I/71e7pr053dL._AC_UL320_.jpg,https://www.amazon.in/Peter-England-Regular-Shirt-PCKPSRGFF79745_White/dp/B0C1S1QC3C/ref=sr_1_8?tag=zahidbasha-21,4.0,1
Lux Cozi,369,569.0,https://m.media-amazon.com/images/I/61Qrj5J9F-L._AC_UL320_.jpg,https://www.amazon.in/Lux-Cozi-Sleeve-T-Shirt-Pocket_COZI_2122_MTGRN_L_1PC/dp/B0CVXQ9SKB/ref=sr_1_9?tag=zahidbasha-21,4.0,1
Lymio,499,699.0,https://m.media-amazon.com/images/I/61EmpOqn1XL._AC_UL320_.jpg,https://www.amazon.in/Lymio-T-Shirt-Polo-Shirt-POLO-52-Olivegreen-M/dp/B0DRFNQS4X/ref=sr_1_10?tag=zahidbasha-21,3.6,1
Peter England,602,802.0,https://m.media-amazon.com/images/I/81V9Cw7P4tL._AC_UL320_.jpg,https://www.amazon.in/Peter-England-Regular-Shirt-PCKPSRGP483904_Green/dp/B09XMTQL9W/ref=sr_1_11?tag=zahidbasha-21,3.9,1
Lux Cozi,349,549.0,https://m.media-amazon.com/images/I/61Fh0EZ3oYL._AC_UL320_.jpg,https://www.amazon.in/Lux-Cozi-Regular-Sleeve-T-Shirt/dp/B0C96XKX1V/ref=sr_1_12?tag=zahidbasha-21,3.8,1
KAJARU,239,439.0,https://m.media-amazon.com/images/I/61dQeAPFEUL._AC_UL320_.jpg,https://www.amazon.in/KAJARU-T-Shirt-Polyester-Fabric-Sportswear/dp/B0F4DZW8NN/ref=sr_1_13?tag=zahidbasha-21,4.2,1
GRECIILOOKS,499,699.0,https://m.media-amazon.com/images/I/71FPUmUCnQL._AC_UL320_.jpg,https://www.amazon.in/GRECIILOOKS-Regular-Casual-Stylish-GL-MT1214-XL-BLACK/dp/B0FJ2J5MCN/ref=sr_1_14?tag=zahidbasha-21,4.4,1
LEOTUDE,299,499.0,https://m.media-amazon.com/images/I/51h-BVWjULL._AC_UL320_.jpg,https://www.amazon.in/LEOTUDE-Oversized-Sleeve-Cottonblend-FS49_Black_Space_P_Black_XL/dp/B0DYTS4SDT/ref=sr_1_15?tag=zahidbasha-21,4.0,1
